time_s,ACC_TFLOPS,Instant_TFLOPS
288,64.718716,80.471319
289,64.773036,80.471319
290,64.826982,80.471319
291,64.880558,80.471319
292,64.933769,80.471319
293,64.986618,80.471319
294,65.039108,80.471319
295,65.091244,80.471319
296,65.143029,80.471319
297,65.194466,80.471319
298,65.245559,80.471319
299,65.296312,80.471319
300,65.346727,80.471319
301,65.396809,80.471319
302,65.446559,80.471319
303,65.495983,80.471319
304,65.545082,80.471319
305,65.593861,80.471319
306,65.642322,80.471319
307,65.690468,80.471319
308,65.738302,80.471319
309,65.785828,80.471319
310,65.833048,80.471319
311,65.879966,80.471319
312,65.926584,80.471319
313,65.972905,80.471319
314,66.018931,80.471319
315,66.064667,80.471319
316,66.110113,80.471319
317,66.155275,80.471319
318,66.200152,80.471319
319,66.244750,80.471319
320,66.289069,80.471319
321,66.333114,80.471319
322,66.376885,80.471319
323,66.420386,80.471319
324,66.463620,80.471319
325,66.506588,80.471319
326,66.549294,80.471319
327,66.591739,80.471319
328,66.633926,80.471319
329,66.675858,80.471319
330,66.717536,80.471319
331,66.758963,80.471319
332,66.800141,80.471319
333,66.841073,80.471319
334,66.881760,80.471319
335,66.922205,80.471319
336,66.962411,80.471319
337,67.002378,80.471319
338,67.042109,80.471319
339,67.081607,80.471319
340,67.120873,80.471319
341,67.159909,80.471319
342,67.198718,80.471319
343,67.237301,80.471319
344,67.275661,80.471319
345,67.313798,80.471319
346,67.351716,80.471319
347,67.357964,69.526056
348,67.364177,69.526056
349,67.370353,69.526056
350,67.376495,69.526056
351,67.353987,59.453505
352,67.331606,59.453505
353,67.309351,59.453505
354,67.287222,59.453505
355,67.265217,59.453505
356,67.243336,59.453505
357,67.193441,49.380954
358,67.143824,49.380954
359,67.066857,39.435691
360,66.990316,39.435691
361,66.914198,39.435691
362,66.838500,39.435691
363,66.763217,39.435691
364,66.688348,39.435691
365,66.613887,39.435691
366,66.539832,39.435691
367,66.466179,39.435691
368,66.392926,39.435691
369,66.320068,39.435691
370,66.247604,39.435691
371,66.175529,39.435691
372,66.103840,39.435691
373,66.032535,39.435691
374,65.961610,39.435691
375,65.891062,39.435691
376,65.794171,29.363140
377,65.697793,29.363140
378,65.601923,29.363140
379,65.506558,29.363140
380,65.411693,29.363140
381,65.317325,29.363140
382,65.223450,29.363140
383,65.104496,19.545130
384,64.986160,19.545130
385,64.868437,19.545130
386,64.751323,19.545130
387,64.634812,19.545130
388,64.518900,19.545130
389,64.403583,19.545130
390,64.288855,19.545130
391,64.174713,19.545130
392,64.061152,19.545130
393,63.948167,19.545130
394,63.835754,19.545130
395,63.723909,19.545130
396,63.612628,19.545130
397,63.501905,19.545130
398,63.391738,19.545130
399,63.282122,19.545130
400,63.173052,19.545130
401,63.064525,19.545130
402,62.973229,26.272285
403,62.882385,26.272285
404,62.791990,26.272285
405,62.702040,26.272285
406,62.612532,26.272285
407,62.523462,26.272285
408,62.434829,26.272285
409,62.346627,26.272285
410,62.258855,26.272285
411,62.171509,26.272285
412,62.100875,32.999440
413,62.030581,32.999440
414,61.960627,32.999440
415,61.891008,32.999440
416,61.821724,32.999440
417,61.752771,32.999440
418,61.684148,32.999440
419,61.615851,32.999440
420,61.547878,32.999440
421,61.480228,32.999440
422,61.436108,42.817450
423,61.392196,42.817450
424,61.348491,42.817450
425,61.304991,42.817450
426,61.261694,42.817450
427,61.218600,42.817450
428,61.191388,49.544605
429,61.164302,49.544605
430,61.137343,49.544605
431,61.110508,49.544605
432,61.083796,49.544605
433,61.057208,49.544605
434,61.030743,49.544605
435,61.004398,49.544605
436,60.978175,49.544605
437,60.968592,56.780842
438,60.959052,56.780842
439,60.949556,56.780842
440,60.954946,63.326182
441,60.960310,63.326182
442,60.965651,63.326182
443,60.970967,63.326182
444,60.976260,63.326182
445,60.981529,63.326182
446,60.986774,63.326182
447,60.991996,63.326182
448,60.997195,63.326182
449,61.002370,63.326182
450,61.007523,63.326182
451,61.012653,63.326182
452,61.039433,73.144192
453,61.066096,73.144192
454,61.092641,73.144192
455,61.119070,73.144192
456,61.145383,73.144192
457,61.171581,73.144192
458,61.197665,73.144192
459,61.223636,73.144192
460,61.249494,73.144192
461,61.275240,73.144192
462,61.300875,73.144192
463,61.326399,73.144192
464,61.351814,73.144192
465,61.377120,73.144192
466,61.402317,73.144192
467,61.427406,73.144192
468,61.452389,73.144192
469,61.477265,73.144192
470,61.502035,73.144192
471,61.513604,66.962482
472,61.525124,66.962482
473,61.536595,66.962482
474,61.548018,66.962482
475,61.559393,66.962482
476,61.570720,66.962482
477,61.582000,66.962482
478,61.593233,66.962482
479,61.604419,66.962482
480,61.615558,66.962482
481,61.626651,66.962482
482,61.637699,66.962482
483,61.648700,66.962482
484,61.659657,66.962482
485,61.670568,66.962482
486,61.681434,66.962482
487,61.692256,66.962482
488,61.703033,66.962482
489,61.713767,66.962482
490,61.711867,60.780772
491,61.709974,60.780772
492,61.708090,60.780772
493,61.706212,60.780772
494,61.704343,60.780772
495,61.690018,54.599062
496,61.675750,54.599062
497,61.661540,54.599062
498,61.647387,54.599062
499,61.633290,54.599062
500,61.619250,54.599062
501,61.605265,54.599062
502,61.591336,54.599062
503,61.577463,54.599062
504,61.563644,54.599062
505,61.549880,54.599062
506,61.536170,54.599062
507,61.522515,54.599062
508,61.508913,54.599062
509,61.495364,54.599062
510,61.481868,54.599062
511,61.468425,54.599062
512,61.455035,54.599062
